|GJ 3958         |             |16 53 37.96|-87 24 49.4|2MASS J16533793-8724492|13.734|13.458|13.405|
|Gl 385          |HIP 120071   |10 07 37.99|-85 07 11.2|2MASS J10073796-8507111| 9.482| 9.412| 9.293|
|Gl 606.1 B      |Wo 9536 B    |16 10 25.33|-84 14 06.7|2MASS J16102528-8414067| 8.298| 7.671| 7.461|
|Gl 606.1 A      |Wo 9536 A    |16 10 15.02|-84 13 53.8|2MASS J16101494-8413536| 6.384| 6.100| 5.964|
|GJ 3486         |             |08 04 25.84|-83 13 58.9|2MASS J08042586-8313589| 8.970| 8.354| 8.111|
|GJ 3440         |             |07 15 48.98|-83 00 18.5|2MASS J07154898-8300185| 8.424| 7.766| 7.548|
|Gl 67.1         |HIP 7601     |01 37 55.56|-82 58 30.0|2MASS J01375558-8258296| 4.776| 4.526| 4.405|
|GJ 3591         |HIP 49889    |10 11 09.21|-82 51 57.7|2MASS J10110916-8251576| 8.212| 7.553| 7.370|
|GJ 4102         |             |19 20 54.27|-82 33 16.1|2MASS J19205439-8233170| 8.555| 8.004| 7.686|
|Gl 820.1        |             |21 13 16.86|-81 49 12.8|2MASS J21131688-8149129|13.478|13.451|13.533|
|GJ 4154         |             |20 46 37.08|-81 43 13.7|2MASS J20463725-8143141| 7.694| 7.124| 6.826|
|GJ 4317         |HIP 114859 A |23 15 57.37|-81 22 21.2|2MASS J23155718-8122212| 7.193| 6.575| 6.346|
|GJ 2108         |             |14 33 07.71|-81 20 14.1|2MASS J14330759-8120145|13.577|13.603|13.645|
|Gl 345          |HIP 46120    |09 24 20.97|-80 31 21.3|2MASS J09242096-8031212| 8.886| 8.526| 8.464|
|Wo 9189         |HIP 26394    |05 37 09.89|-80 28 08.9|2MASS J05370988-8028090| 4.869| 4.424| 4.241|
|GJ 4004         |             |17 29 27.34|-80 08 57.5|2MASS J17292729-8008573| 8.088| 7.523| 7.299|
|GJ 3021         |HIP 1292     |00 16 12.68|-79 51 04.3|2MASS J00161266-7951042| 5.366| 4.990| 4.859|
|GJ 3625         |             |10 47 38.69|-79 27 45.9|2MASS J10473868-7927458| 9.052| 8.485| 8.139|
|Gl 808          |             |20 51 41.64|-79 18 39.9|2MASS J20514174-7918403| 8.459| 7.908| 7.664|
|Gl 626.1        |Wo 9563      |16 33 27.09|-78 53 49.7|2MASS J16332707-7853498| 2.231| 1.814| 1.721|
|GJ 1077         |             |05 16 59.67|-78 17 20.2|2MASS J05165967-7817203| 8.066| 7.441| 7.199|
|Gl 724.2        |HIP 92233    |18 47 49.13|-77 52 05.7|2MASS J18474919-7752057| 5.324| 5.024| 4.944|
|GJ 2096         |HIP 61792 A  |12 39 51.12|-77 50 35.7|2MASS J12395106-7750360| 6.812| 6.196| 6.054|
|GJ 1123         |             |09 17 05.33|-77 49 23.3|2MASS J09170532-7749233| 8.329| 7.768| 7.448|
