#
#
#Results from heasarc_mdwarfasc: Bright M Dwarf All-Sky Catalog
#Coordinate system:  Equatorial
#|name             |ra         |dec        |pm_ra |pm_dec|parallax|parallax_error|phot_parallax|phot_parallax_error|jmag |vj_color|hip_name  |tyc_name       |cns3_name    |lii      |bii      |pm_tot|ref_parallax|rass_count_rate|galex_fmag|galex_nmag|bt_mag|vt_mag|bj_mag|rf_mag|in_mag|hmag |ks_mag|vmag_eff|phot_spect_type|class   |
|PMI J21281-8808  |21 28 09.64|-88 08 11.5|-0.107| 0.069|        |              |       0.0326|             0.0098| 8.23|    2.77|          |TYC 9536-281-1 |             |304.57236|-28.29598| 0.128|            |               |          |          | 12.50| 11.00|  11.8|  10.1|   9.3| 7.56|  7.42|   11.00|k7             |STAR K7V|
|PMI J23267-8725  |23 26 44.75|-87 25 06.2| 0.067|-0.011|        |              |       0.0574|             0.0172| 7.30|    3.03|          |TYC 9533-919-1 |             |304.00329|-29.53151| 0.068|            |               |          |     18.86| 11.97| 10.33|      |      |      | 6.64|  6.48|   10.33|m0             |STAR M0V|
|PMI J19194-8717  |19 19 25.59|-87 17 26.0|-0.059|-0.143|        |              |       0.0405|             0.0121| 9.32|    3.86|          |               |             |305.96199|-27.42577| 0.155|            |               |          |          |      |      |  14.1|  12.1|  10.5| 8.74|  8.49|   13.18|m3             |STAR M3V|
|PMI J20589-8655  |20 58 55.68|-86 55 03.2|-0.027| 0.062|        |              |       0.0263|             0.0079| 8.84|    2.91|          |TYC 9532-192-1 |             |305.91685|-28.72422| 0.067|            |               |          |     20.13| 13.01| 11.76|      |      |      | 8.24|  8.06|   11.76|m0             |STAR M0V|
|PMI J10360-8649  |10 36 00.77|-86 49 25.9|-0.025| 0.045|        |              |       0.0425|             0.0127| 7.68|    2.79|          |TYC 9515-162-1 |             |300.98834|-24.47739| 0.051|            |               |          |     19.79| 11.70| 10.47|      |      |      | 7.05|  6.85|   10.47|k7             |STAR K7V|
|PMI J15402-8621  |15 40 13.49|-86 21 12.2|-0.100|-0.185|        |              |       0.0292|             0.0088| 9.27|    3.36|          |               |             |305.62069|-24.40128| 0.210|            |               |          |          |      |      |  13.6|  11.5|  10.5| 8.65|  8.42|   12.63|m1             |STAR M1V|
|PMI J21467-8543  |21 46 42.74|-85 43 04.6| 0.165|-0.159|        |              |       0.0861|             0.0258| 8.84|    4.70|          |               |             |306.50024|-30.04771| 0.229|            |         0.2660|          |          |      |      |  14.6|  12.3|  10.2| 8.28|  7.99|   13.54|m5             |STAR M5V|
|PMI J12470-8531  |12 47 01.19|-85 31 13.0|-0.257|-0.049|        |              |       0.0188|             0.0056| 9.95|    3.18|          |               |             |302.83845|-22.64934| 0.262|            |               |          |          |      |      |  14.1|  12.0|  10.8| 9.30|  9.11|   13.13|m1             |STAR M1V|
|PMI J02244-8507  |02 24 26.81|-85 07 02.2|-0.129|-0.170|        |              |       0.0282|             0.0084| 8.65|    2.86|          |               |             |300.67100|-31.59615| 0.213|            |               |          |     20.88|      |      |      |  10.5|   9.1| 7.99|  7.79|   11.51|m0             |STAR M0V|
|PMI J23306-8455  |23 30 38.19|-84 55 19.0|-0.279|-0.012|        |              |       0.0593|             0.0178| 9.84|    4.84|          |               |             |304.99459|-31.87879| 0.279|            |               |          |          |      |      |  15.6|  13.6|  11.1| 9.31|  8.99|   14.68|m5             |STAR M5V|
|PMI J17263-8433  |17 26 22.90|-84 33 08.1| 0.390|-0.442|        |              |       0.0570|             0.0171| 9.87|    4.80|          |               |             |308.53601|-25.04192| 0.589|            |               |          |          |      |      |  16.0|  13.1|  11.6| 9.33|  9.02|   14.67|m5             |STAR M5V|
|PMI J07387-8421  |07 38 42.99|-84 21 33.0|-0.091| 0.030|        |              |       0.0222|             0.0067| 9.22|    2.91|          |TYC 9493-916-1 |             |296.79551|-25.83986| 0.096|            |               |          |     20.56| 13.86| 12.13|      |      |      | 8.57|  8.38|   12.13|m0             |STAR M0V|
|PMI J16104-8414  |16 10 25.35|-84 14 06.7|-0.360|-0.026|        |              |       0.0336|             0.0101| 8.30|    2.89|          |TYC 9522-4321-1|Gl  606.1 B  |307.72053|-23.32293| 0.361|            |               |          |          | 11.97| 11.19|      |      |      | 7.67|  7.46|   11.19|m0             |STAR M0V|
|PMI J19586-8404  |19 58 37.79|-84 04 22.9|-0.004|-0.048|        |              |       0.0563|             0.0169| 7.10|    2.82|          |TYC 9523-2398-1|             |309.40244|-28.69229| 0.048|            |               |          |     20.06| 11.64|  9.92|      |      |      | 6.46|  6.29|    9.92|k7             |STAR K7V|
|PMI J11079-8351  |11 07 58.18|-83 51 23.4|-0.318| 0.043|        |              |       0.0570|             0.0171| 9.06|    4.20|          |               |             |300.05405|-21.57152| 0.321|            |               |          |          |      |      |  13.9|  12.5|  10.2| 8.45|  8.18|   13.26|m4             |STAR M4V|
|PMI J05262-8336  |05 26 13.94|-83 36 22.5| 0.306| 0.301|        |              |       0.0261|             0.0078| 9.12|    3.10|          |               |             |296.10009|-29.28483| 0.429|            |               |          |     20.95|      |      |  13.0|  11.3|  10.2| 8.49|  8.27|   12.22|m0             |STAR M0V|
|PMI J08044-8313  |08 04 25.84|-83 13 58.9|-0.457| 0.388|        |              |       0.0378|             0.0113| 8.97|    3.53|          |               |GJ 3486      |295.84893|-24.83265| 0.599|            |               |          |          |      |      |      |  11.4|  10.1| 8.35|  8.11|   12.50|m2             |STAR M2V|
|PMI J22086-8303  |22 08 38.64|-83 03 28.5| 0.306| 0.045|        |              |       0.0558|             0.0167| 9.04|    4.15|          |               |             |308.28145|-32.28932| 0.309|            |               |          |          |      |      |  14.2|  12.0|  10.3| 8.47|  8.22|   13.19|m4             |STAR M4V|
|PMI J07158-8300  |07 15 48.98|-83 00 18.5|-0.098| 0.729|        |              |       0.0408|             0.0123| 8.42|    3.28|          |               |GJ 3440      |295.17756|-26.17300| 0.736|            |         0.0277|          |          |      |      |  12.8|  10.4|   9.6| 7.77|  7.55|   11.70|m1             |STAR M1V|
|PMI J10419-8259  |10 41 56.40|-82 59 23.2| 0.344|-0.049|        |              |       0.0461|             0.0138| 9.51|    4.19|          |               |             |298.91387|-21.15168| 0.347|            |               |          |          |      |      |  14.3|  13.0|  10.2| 8.92|  8.66|   13.70|m4             |STAR M4V|
|PMI J10111-8251  |10 11 09.33|-82 51 57.8|-0.451| 0.329|  0.0358|        0.0015|       0.0345|             0.0103| 8.21|    2.86|HIP 49889 |TYC 9507-3651-1|GJ 3591      |297.99993|-21.58450| 0.558|VL07        |               |          |     19.99| 12.49| 11.07|  12.4|      |      | 7.55|  7.37|   11.07|m0             |STAR M0V|
|PMI J06187-8238  |06 18 43.30|-82 38 02.9| 0.031|-0.172|        |              |       0.0220|             0.0066| 9.10|    2.78|          |TYC 9493-123-1 |             |294.67361|-27.93397| 0.175|            |               |          |          | 13.31| 11.88|  12.7|  10.9|  10.2| 8.51|  8.26|   11.88|k7             |STAR K7V|
|PMI J19209-8233  |19 20 54.26|-82 33 16.0| 0.348|-1.309|  0.0830|        0.0009|       0.0833|             0.0250| 8.56|    4.44|          |               |GJ 4102      |311.28828|-27.83496| 1.354|Ja11        |               |          |          |      |      |  14.1|  11.7|  10.0| 8.00|  7.69|   13.00|m4             |STAR M4V|
