name	Gl551	proxima cent
Teff	3042	Ségransan, D.; et al. (2003), "First radius measurements of very low mass stars with the VLTI", Astronomy and Astrophysics 397
Blum	0.0017	Doyle, J. G.; Butler, C. J. (1990). "Optical and infrared photometry of dwarf M and K stars". Astronomy and Astrophysics 235: 335–339

name	Gl559A	alpha cent A
Teff	5790	
Blum	1.519

name	Gl559B	alpha cent B
Teff	5260
Blum	0.500

name	Gl699	Barnard's star
Teff	3134	Dawson, P. C.; De Robertis, M. M. (2004). "Barnard's Star and the M Dwarf Temperature Scale". The Astronomical Journal 127 (5): 2909. 
Blum	0.0035	Dawson, P. C.; De Robertis, M. M. (2004). "Barnard's Star and the M Dwarf Temperature Scale". The Astronomical Journal 127 (5): 2909. 

name	Gl406	CN Leonis, Wolf 359
Teff	2800	Pavlenko, Ya. V.; et al. (2006). "Spectral energy distribution for GJ406". Astronomy and Astrophysics 447 (2): 709–717.
Blum	0.0014

name	Gl411	Lalande 21185
Teff	3828	Cenarro, A. J.; et al. (January 2007), "Medium-resolution Isaac Newton Telescope library of empirical spectra - II. The stellar atmospheric parameters", Monthly Notices of the Royal Astronomical Society 374 (2): 664–690
Blum	0.021	Newton, Elisabeth R.; et al. (February 2015), "An Empirical Calibration to Estimate Cool Dwarf Fundamental Parameters from H-band Spectra", The Astrophysical Journal 800
	
name	Gl244AB	Sirius
Teff	9940
Blum	25.4

name	Gl729	Ross 154
Teff	3340	Mentuch, Erin; et al., "Lithium Depletion of Nearby Young Stellar Associations", The Astrophysical Journal 689 (2): 1127–1140

name	Gl905	Ross 248
Teff	2799	Cenarro, A. J.; et al. (2007). "Medium-resolution Isaac Newton Telescope Library of Empirical Spectra – II. The Stellar Atmospheric Parameters". Monthly Notices of the Royal Astronomical Society 374 (2): 664–690.

name	Gl144	eps eri
Teff	5084	Kovtyukh, V. V.; et al. (December 2003), "High precision effective temperatures for 181 F-K dwarfs from line-depth ratios", Astronomy and Astrophysics 411 (3): 559–564

name	Gl887	Lacaille 9352
Teff	3626	Demory, B.-O.; et al. (October 2009), "Mass-radius relation of low and very low-mass stars revisited with the VLTI", Astronomy and Astrophysics 505 (1): 205–215,
Blum	0.033	

name	Gl447	Ross 128
Teff	3180	Gautier, Thomas N., III; et al., "Far Infrared Properties of M Dwarfs", Bulletin of the American Astronomical Society 36: 1431, 
Blum	0.0035	

name	Gl280AB	Procyon
Teff	6530
Blum	6.93

name	Gl820A	61 Cygni A
Teff	4526	van Belle, Gerard T.; von Braun, Kaspar (2009), "Directly Determined Linear Radii and Effective Temperatures of Exoplanet Host Stars", The Astrophysical Journal 694 (2)

name	Gl820B	61 Cygni B
Teff	4077	van Belle, Gerard T.; von Braun, Kaspar (2009), "Directly Determined Linear Radii and Effective Temperatures of Exoplanet Host Stars", The Astrophysical Journal 694 (2)

name	Gl725A	
Teff	3441	Mann, Andrew W.; et al. (May 2015), "How to Constrain Your M Dwarf: Measuring Effective Temperature, Bolometric Luminosity, Mass, and Radius", The Astrophysical Journal 804 (1)

name	Gl725B
Teff	3345	Mann, Andrew W.; et al. (May 2015), "How to Constrain Your M Dwarf: Measuring Effective Temperature, Bolometric Luminosity, Mass, and Radius", The Astrophysical Journal 804 (1): 38

name	Gl15A	
Teff	3730	Berger, D. H.; et al. (2006). "First Results from the CHARA Array. IV. The Interferometric Radii of Low-Mass Stars". The Astrophysical Journal 644 (1): 475–483
Blum	0.02589

name	Gl15B
Teff	3218	Mann, Andrew W.; et al. (May 2015), "How to Constrain Your M Dwarf: Measuring Effective Temperature, Bolometric Luminosity, Mass, and Radius", The Astrophysical Journal 804 (1): 38,
Blum	0.00262

name	Gl845	eps indi
Teff	4630	Demory, B.-O.; et al. (October 2009). "Mass-radius relation of low and very low-mass stars revisited with the VLTI". Astronomy and Astrophysics 505 (1): 205–215. 
Blum	0.22	

name	GJ1111	DX Cancri
Teff	2840	Reiners, A.; Basri, G. (February 2007). "The First Direct Measurements of Surface Magnetic Fields on Very Low Mass Stars". The Astrophysical Journal 656 (2): 1121–1135

name	Gl71	tau ceti
Teff	5344
Blum	0.52

name	Gl273	Luyten's Star
Teff	3150

name	PMI_J02530+1652	Teegarden's star
